Wiley Interdisciplinary Reviews-Computational Molecular Science,Wiley Interdisciplinary Reviews-Computational Molecular Science,25.113
JOURNAL OF HEPATOLOGY,JOURNAL OF HEPATOLOGY,25.083
LANCET INFECTIOUS DISEASES,LANCET INFECTIOUS DISEASES,25.071
NATURE NEUROSCIENCE,NATURE NEUROSCIENCE,24.884
Cell Stem Cell,Cell Stem Cell,24.633
Lancet Digital Health,Lancet Digital Health,24.519
Nature Chemistry,Nature Chemistry,24.427
Annual Review of Psychology,Annual Review of Psychology,24.137
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,24.094
Trends in Chemistry,Trends in Chemistry,24.081
Science Robotics,Science Robotics,23.748
Annual Review of Biochemistry,Annual Review of Biochemistry,23.643
Annual Review of Pathology-Mechanisms of Disease,Annual Review of Pathology-Mechanisms of Disease,23.472
ACS Energy Letters,ACS Energy Letters,23.101
GUT,GUT,23.059
Chem,Chem,22.804
GASTROENTEROLOGY,GASTROENTEROLOGY,22.682
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS OF CHEMICAL RESEARCH,22.384
COORDINATION CHEMISTRY REVIEWS,COORDINATION CHEMISTRY REVIEWS,22.315
BLOOD,BLOOD,22.113
REVIEWS OF GEOPHYSICS,REVIEWS OF GEOPHYSICS,22
Annual Review of Public Health,Annual Review of Public Health,21.981
JAMA Internal Medicine,JAMA Internal Medicine,21.873
Lancet Public Health,Lancet Public Health,21.648
JAMA Psychiatry,JAMA Psychiatry,21.596
Alzheimers & Dementia,Alzheimers & Dementia,21.566
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,21.405
PROGRESS IN RETINAL AND EYE RESEARCH,PROGRESS IN RETINAL AND EYE RESEARCH,21.198
Cell Host & Microbe,Cell Host & Microbe,21.023
TRENDS IN CELL BIOLOGY,TRENDS IN CELL BIOLOGY,20.808
Nano Today,Nano Today,20.722
Nature Reviews Rheumatology,Nature Reviews Rheumatology,20.543
FUNGAL DIVERSITY,FUNGAL DIVERSITY,20.372
TRENDS IN COGNITIVE SCIENCES,TRENDS IN COGNITIVE SCIENCES,20.229
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,20.217
Advances in Optics and Photonics,Advances in Optics and Photonics,20.107
EUROPEAN UROLOGY,EUROPEAN UROLOGY,20.096
Nature Physics,Nature Physics,20.034
ENDOCRINE REVIEWS,ENDOCRINE REVIEWS,19.871
Annual Review of Entomology,Annual Review of Entomology,19.686
INTERNATIONAL MATERIALS REVIEWS,INTERNATIONAL MATERIALS REVIEWS,19.559
TRENDS IN BIOTECHNOLOGY,TRENDS IN BIOTECHNOLOGY,19.536
APPLIED CATALYSIS B-ENVIRONMENTAL,APPLIED CATALYSIS B-ENVIRONMENTAL,19.503
Nature Sustainability,Nature Sustainability,19.346
Annual Review of Physiology,Annual Review of Physiology,19.318
Lancet Planetary Health,Lancet Planetary Health,19.173
Applied Physics Reviews,Applied Physics Reviews,19.162
DIABETES CARE,DIABETES CARE,19.112
ANNALS OF THE RHEUMATIC DISEASES,ANNALS OF THE RHEUMATIC DISEASES,19.103
Lancet Haematology,Lancet Haematology,18.959
ADVANCED FUNCTIONAL MATERIALS,ADVANCED FUNCTIONAL MATERIALS,18.808
Annual Review of Clinical Psychology,Annual Review of Clinical Psychology,18.561
Annual Review of Fluid Mechanics,Annual Review of Fluid Mechanics,18.511
DRUG RESISTANCE UPDATES,DRUG RESISTANCE UPDATES,18.5
Lancet Gastroenterology & Hepatology,Lancet Gastroenterology & Hepatology,18.486
TRENDS IN PLANT SCIENCE,TRENDS IN PLANT SCIENCE,18.313
JAMA Neurology,JAMA Neurology,18.302
Signal Transduction and Targeted Therapy,Signal Transduction and Targeted Therapy,18.187
AMERICAN JOURNAL OF PSYCHIATRY,AMERICAN JOURNAL OF PSYCHIATRY,18.112
MOLECULAR CELL,MOLECULAR CELL,17.97
Science Translational Medicine,Science Translational Medicine,17.956
Nano Energy,Nano Energy,17.881
Energy Storage Materials,Energy Storage Materials,17.789
Light-Science & Applications,Light-Science & Applications,17.782
Nature Microbiology,Nature Microbiology,17.745
PSYCHOLOGICAL BULLETIN,PSYCHOLOGICAL BULLETIN,17.737
Science Immunology,Science Immunology,17.727
TRENDS IN ECOLOGY & EVOLUTION,TRENDS IN ECOLOGY & EVOLUTION,17.712
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHERAPY AND PSYCHOSOMATICS,17.659
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,17.586
INTENSIVE CARE MEDICINE,INTENSIVE CARE MEDICINE,17.44
HEPATOLOGY,HEPATOLOGY,17.425
Living Reviews in Solar Physics,Living Reviews in Solar Physics,17.417
Journal of Hematology & Oncology,Journal of Hematology & Oncology,17.388
CIRCULATION RESEARCH,CIRCULATION RESEARCH,17.367
National Science Review,National Science Review,17.275
REPORTS ON PROGRESS IN PHYSICS,REPORTS ON PROGRESS IN PHYSICS,17.264
NEURON,NEURON,17.173
BASIC RESEARCH IN CARDIOLOGY,BASIC RESEARCH IN CARDIOLOGY,17.165
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOLOGICA,17.088
TRENDS IN MICROBIOLOGY,TRENDS IN MICROBIOLOGY,17.079
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RESEARCH,16.971
Nature Geoscience,Nature Geoscience,16.908
Annual Review of Genetics,Annual Review of Genetics,16.83
Advanced Science,Advanced Science,16.806
TRENDS IN IMMUNOLOGY,TRENDS IN IMMUNOLOGY,16.687
EUROPEAN RESPIRATORY JOURNAL,EUROPEAN RESPIRATORY JOURNAL,16.671
Nano-Micro Letters,Nano-Micro Letters,16.419
FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOLOGY REVIEWS,16.408
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,16.389
Annual Review of Materials Research,Annual Review of Materials Research,16.286
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,16.281
MOLECULAR BIOLOGY AND EVOLUTION,MOLECULAR BIOLOGY AND EVOLUTION,16.24
PROGRESS IN LIPID RESEARCH,PROGRESS IN LIPID RESEARCH,16.195
JAMA Pediatrics,JAMA Pediatrics,16.193
Annual Review of Condensed Matter Physics,Annual Review of Condensed Matter Physics,16.109
STUDIES IN MYCOLOGY,STUDIES IN MYCOLOGY,16.097
Autophagy,Autophagy,16.016
MOLECULAR PSYCHIATRY,MOLECULAR PSYCHIATRY,15.992
ACS Nano,ACS Nano,15.881
CELL DEATH AND DIFFERENTIATION,CELL DEATH AND DIFFERENTIATION,15.828
Nature Plants,Nature Plants,15.793
Physical Review X,Physical Review X,15.762
SEMINARS IN CANCER BIOLOGY,SEMINARS IN CANCER BIOLOGY,15.707
SYSTEMATIC BIOLOGY,SYSTEMATIC BIOLOGY,15.683
HUMAN REPRODUCTION UPDATE,HUMAN REPRODUCTION UPDATE,15.61
Journal of Thoracic Oncology,Journal of Thoracic Oncology,15.609
Matter,Matter,15.589
EUROPEAN JOURNAL OF HEART FAILURE,EUROPEAN JOURNAL OF HEART FAILURE,15.534
Nature Machine Intelligence,Nature Machine Intelligence,15.508
Annual Review of Microbiology,Annual Review of Microbiology,15.5
ADVANCED DRUG DELIVERY REVIEWS,ADVANCED DRUG DELIVERY REVIEWS,15.47
Nature Ecology & Evolution,Nature Ecology & Evolution,15.46
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,15.419
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NATURE STRUCTURAL & MOLECULAR BIOLOGY,15.369
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,15.336
Energy & Environmental Materials,Energy & Environmental Materials,15.122
Nature Chemical Biology,Nature Chemical Biology,15.04
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,14.982
Nature Communications,Nature Communications,14.919
Protein & Cell,Protein & Cell,14.87
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS IN PHARMACOLOGICAL SCIENCES,14.819
JOURNAL OF CLINICAL INVESTIGATION,JOURNAL OF CLINICAL INVESTIGATION,14.808
JACC-Cardiovascular Imaging,JACC-Cardiovascular Imaging,14.805
JAMA Surgery,JAMA Surgery,14.766
JAMA Cardiology,JAMA Cardiology,14.676
Microbiome,Microbiome,14.65
Bioactive Materials,Bioactive Materials,14.593
ACS Central Science,ACS Central Science,14.553
Nature Astronomy,Nature Astronomy,14.437
Nature Reviews Urology,Nature Reviews Urology,14.432
JOURNAL OF EXPERIMENTAL MEDICINE,JOURNAL OF EXPERIMENTAL MEDICINE,14.307
MOLECULAR ASPECTS OF MEDICINE,MOLECULAR ASPECTS OF MEDICINE,14.235
BIOTECHNOLOGY ADVANCES,BIOTECHNOLOGY ADVANCES,14.227
Trends in Cancer,Trends in Cancer,14.226
Annual Review of Nuclear and Particle Science,Annual Review of Nuclear and Particle Science,14.219
Molecular Neurodegeneration,Molecular Neurodegeneration,14.195
Small Methods,Small Methods,14.188
Science Advances,Science Advances,14.136
Annual Review of Ecology Evolution and Systematics,Annual Review of Ecology Evolution and Systematics,13.915
Annual Review of Marine Science,Annual Review of Marine Science,13.85
TRENDS IN NEUROSCIENCES,TRENDS IN NEUROSCIENCES,13.837
Annual Review of Cell and Developmental Biology,Annual Review of Cell and Developmental Biology,13.827
Annual Review of Pharmacology and Toxicology,Annual Review of Pharmacology and Toxicology,13.82
TRENDS IN BIOCHEMICAL SCIENCES,TRENDS IN BIOCHEMICAL SCIENCES,13.807
BRITISH JOURNAL OF SPORTS MEDICINE,BRITISH JOURNAL OF SPORTS MEDICINE,13.8
Journal for ImmunoTherapy of Cancer,Journal for ImmunoTherapy of Cancer,13.751
Annual Review of Medicine,Annual Review of Medicine,13.739
Nature Human Behaviour,Nature Human Behaviour,13.663
Annual Review of Food Science and Technology,Annual Review of Food Science and Technology,13.635
GENOME BIOLOGY,GENOME BIOLOGY,13.583
Bone Research,Bone Research,13.567
Nature Metabolism,Nature Metabolism,13.511
JNCI-Journal of the National Cancer Institute,JNCI-Journal of the National Cancer Institute,13.506
BRAIN,BRAIN,13.501
Nature Protocols,Nature Protocols,13.491
Journal of King Saud University-Computer and Information Sciences,Journal of King Saud University-Computer and Information Sciences,13.473
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE Transactions on Systems Man Cybernetics-Systems,13.451
NATURAL PRODUCT REPORTS,NATURAL PRODUCT REPORTS,13.423
BIOLOGICAL PSYCHIATRY,BIOLOGICAL PSYCHIATRY,13.382
Polymer Reviews,Polymer Reviews,13.282
Small,Small,13.281
CHEMICAL ENGINEERING JOURNAL,CHEMICAL ENGINEERING JOURNAL,13.273
Materials Horizons,Materials Horizons,13.266
Molecular Plant,Molecular Plant,13.164
ALLERGY,ALLERGY,13.146
Laser & Photonics Reviews,Laser & Photonics Reviews,13.138
ACS Catalysis,ACS Catalysis,13.084
Annual Review of Phytopathology,Annual Review of Phytopathology,13.078
Advances in Nano Research,Advances in Nano Research,13.052
JOURNAL OF PINEAL RESEARCH,JOURNAL OF PINEAL RESEARCH,13.007
IMMUNOLOGICAL REVIEWS,IMMUNOLOGICAL REVIEWS,12.988
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADVANCES IN COLLOID AND INTERFACE SCIENCE,12.984
Annual Review of Biophysics,Annual Review of Biophysics,12.981
Information Fusion,Information Fusion,12.975
ANNALS OF SURGERY,ANNALS OF SURGERY,12.969
MEDICINAL RESEARCH REVIEWS,MEDICINAL RESEARCH REVIEWS,12.944
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,12.927
Journal of Cachexia Sarcopenia and Muscle,Journal of Cachexia Sarcopenia and Muscle,12.91
BIOLOGICAL REVIEWS,BIOLOGICAL REVIEWS,12.82
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,12.811
Annual Review of Earth and Planetary Sciences,Annual Review of Earth and Planetary Sciences,12.81
Lancet HIV,Lancet HIV,12.767
npj Flexible Electronics,npj Flexible Electronics,12.74
Journal of Materials Chemistry A,Journal of Materials Chemistry A,12.732
Annual Review of Physical Chemistry,Annual Review of Physical Chemistry,12.703
CANCER RESEARCH,CANCER RESEARCH,12.701
LAB ANIMAL,LAB ANIMAL,12.625
BEHAVIORAL AND BRAIN SCIENCES,BEHAVIORAL AND BRAIN SCIENCES,12.579
TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS IN FOOD SCIENCE & TECHNOLOGY,12.563
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,12.561
IEEE SIGNAL PROCESSING MAGAZINE,IEEE SIGNAL PROCESSING MAGAZINE,12.551
CLINICAL CANCER RESEARCH,CLINICAL CANCER RESEARCH,12.531
BIOMATERIALS,BIOMATERIALS,12.479
Annual Review of Neuroscience,Annual Review of Neuroscience,12.449
EARTH-SCIENCE REVIEWS,EARTH-SCIENCE REVIEWS,12.413
PHARMACOLOGY & THERAPEUTICS,PHARMACOLOGY & THERAPEUTICS,12.31
NEURO-ONCOLOGY,NEURO-ONCOLOGY,12.3
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,12.296
DEVELOPMENTAL CELL,DEVELOPMENTAL CELL,12.27
SURFACE SCIENCE REPORTS,SURFACE SCIENCE REPORTS,12.267
PROGRESS IN QUANTUM ELECTRONICS,PROGRESS IN QUANTUM ELECTRONICS,12.25
npj Computational Materials,npj Computational Materials,12.241
Advances in Carbohydrate Chemistry and Biochemistry,Advances in Carbohydrate Chemistry and Biochemistry,12.2
EMBO Molecular Medicine,EMBO Molecular Medicine,12.137
CANCER TREATMENT REVIEWS,CANCER TREATMENT REVIEWS,12.111
OPHTHALMOLOGY,OPHTHALMOLOGY,12.079
JACC-Heart Failure,JACC-Heart Failure,12.035
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE TRANSACTIONS ON FUZZY SYSTEMS,12.029
TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS IN ENDOCRINOLOGY AND METABOLISM,12.015
IEEE WIRELESS COMMUNICATIONS,IEEE WIRELESS COMMUNICATIONS,11.979
TRENDS IN MOLECULAR MEDICINE,TRENDS IN MOLECULAR MEDICINE,11.951
Journal of the National Comprehensive Cancer Network,Journal of the National Comprehensive Cancer Network,11.908
Annual Review of Nutrition,Annual Review of Nutrition,11.848
Redox Biology,Redox Biology,11.799
Science Bulletin,Science Bulletin,11.78
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,11.775
Liver Cancer,Liver Cancer,11.74
PROGRESS IN NEUROBIOLOGY,PROGRESS IN NEUROBIOLOGY,11.685
npj Digital Medicine,npj Digital Medicine,11.653
TRENDS IN GENETICS,TRENDS IN GENETICS,11.639
BRIEFINGS IN BIOINFORMATICS,BRIEFINGS IN BIOINFORMATICS,11.622
SLEEP MEDICINE REVIEWS,SLEEP MEDICINE REVIEWS,11.609
EMBO JOURNAL,EMBO JOURNAL,11.598
MATRIX BIOLOGY,MATRIX BIOLOGY,11.583
Theranostics,Theranostics,11.556
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,11.554
Cellular & Molecular Immunology,Cellular & Molecular Immunology,11.53
LEUKEMIA,LEUKEMIA,11.528
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,11.527
Clinical and Translational Medicine,Clinical and Translational Medicine,11.492
MOLECULAR THERAPY,MOLECULAR THERAPY,11.454
IEEE Transactions on Cybernetics,IEEE Transactions on Cybernetics,11.448
Molecular Systems Biology,Molecular Systems Biology,11.429
Exposure and Health,Exposure and Health,11.422
Acta Pharmaceutica Sinica B,Acta Pharmaceutica Sinica B,11.413
Clinical Gastroenterology and Hepatology,Clinical Gastroenterology and Hepatology,11.382
GENES & DEVELOPMENT,GENES & DEVELOPMENT,11.361
IEEE Computational Intelligence Magazine,IEEE Computational Intelligence Magazine,11.356
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,11.354
Earth System Science Data,Earth System Science Data,11.333
Lancet Child & Adolescent Health,Lancet Child & Adolescent Health,11.288
PLANT CELL,PLANT CELL,11.277
WATER RESEARCH,WATER RESEARCH,11.236
AMERICAN JOURNAL OF BIOETHICS,AMERICAN JOURNAL OF BIOETHICS,11.229
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,11.205
JACC-Cardiovascular Interventions,JACC-Cardiovascular Interventions,11.195
NANO LETTERS,NANO LETTERS,11.189
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,11.176
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,11.161
Cancer Immunology Research,Cancer Immunology Research,11.151
SPORTS MEDICINE,SPORTS MEDICINE,11.136
SEMINARS IN IMMUNOLOGY,SEMINARS IN IMMUNOLOGY,11.13
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,11.123
IEEE CONTROL SYSTEMS MAGAZINE,IEEE CONTROL SYSTEMS MAGAZINE,11.119
Genome Medicine,Genome Medicine,11.117
Annual Review of Environment and Resources,Annual Review of Environment and Resources,11.108
npj 2D Materials and Applications,npj 2D Materials and Applications,11.106
RADIOLOGY,RADIOLOGY,11.105
Optica,Optica,11.104
ACTA NUMERICA,ACTA NUMERICA,11.091
PLOS MEDICINE,PLOS MEDICINE,11.069
Annual Review of Chemical and Biomolecular Engineering,Annual Review of Chemical and Biomolecular Engineering,11.059
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,11.056
PERSOONIA,PERSOONIA,11.051
Blood Cancer Journal,Blood Cancer Journal,11.037
AMERICAN JOURNAL OF HUMAN GENETICS,AMERICAN JOURNAL OF HUMAN GENETICS,11.025
Physics of Life Reviews,Physics of Life Reviews,11.025
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,11.022
Additive Manufacturing,Additive Manufacturing,10.998
Arthritis & Rheumatology,Arthritis & Rheumatology,10.995
Nanoscale Horizons,Nanoscale Horizons,10.989
PROCEEDINGS OF THE IEEE,PROCEEDINGS OF THE IEEE,10.961
MASS SPECTROMETRY REVIEWS,MASS SPECTROMETRY REVIEWS,10.946
NUCLEAR DATA SHEETS,NUCLEAR DATA SHEETS,10.941
CEMENT AND CONCRETE RESEARCH,CEMENT AND CONCRETE RESEARCH,10.933
AGEING RESEARCH REVIEWS,AGEING RESEARCH REVIEWS,10.895
AMERICAN JOURNAL OF GASTROENTEROLOGY,AMERICAN JOURNAL OF GASTROENTEROLOGY,10.864
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOLOGY,10.863
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE TRANSACTIONS ON IMAGE PROCESSING,10.856
Cell Discovery,Cell Discovery,10.849
CURRENT BIOLOGY,CURRENT BIOLOGY,10.834
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,10.793
CARDIOVASCULAR RESEARCH,CARDIOVASCULAR RESEARCH,10.787
SIAM REVIEW,SIAM REVIEW,10.78
Annual Review of Analytical Chemistry,Annual Review of Analytical Chemistry,10.745
Bioengineering & Translational Medicine,Bioengineering & Translational Medicine,10.711
IEEE NETWORK,IEEE NETWORK,10.693
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,10.68
AGE AND AGEING,AGE AND AGEING,10.668
BIOSENSORS & BIOELECTRONICS,BIOSENSORS & BIOELECTRONICS,10.618
KIDNEY INTERNATIONAL,KIDNEY INTERNATIONAL,10.612
Reviews in Aquaculture,Reviews in Aquaculture,10.592
JOURNAL OF HAZARDOUS MATERIALS,JOURNAL OF HAZARDOUS MATERIALS,10.588
Kidney International Supplements,Kidney International Supplements,10.545
JOURNAL OF CELL BIOLOGY,JOURNAL OF CELL BIOLOGY,10.539
IEEE Transactions on Affective Computing,IEEE Transactions on Affective Computing,10.506
NPG Asia Materials,NPG Asia Materials,10.481
Journal of Advanced Research,Journal of Advanced Research,10.479
IEEE Transactions on Neural Networks and Learning Systems,IEEE Transactions on Neural Networks and Learning Systems,10.451
JOURNAL OF NANOBIOTECHNOLOGY,JOURNAL OF NANOBIOTECHNOLOGY,10.435
Annual Review of Virology,Annual Review of Virology,10.431
ANNALS OF NEUROLOGY,ANNALS OF NEUROLOGY,10.422
Cancer Communications,Cancer Communications,10.392
